,freq94,freq95,freq96,freqT1,freqT2,freqT3,freqT4,freqT5,freqT6,freqT7,freqT8,amount94,amount95,amount96,amountT1,amountT2,amountT3,amountT4,amountT5,amountT6,amountT6,amountT7,amountT8,MDMAUD
147,2,10,10,4,2,2,5,2,2,2,4,0,125,150,0,0,0,0,0,0,0,275,0,I1CM
148,8,31,30,7,7,8,15,6,8,8,12,39,106,41,34,0,39,0,0,0,0,75,38,L2CM
149,4,39,37,15,8,5,18,8,8,7,15,15,45,13,10,0,0,25,10,0,0,13,15,C1CM
150,2,9,8,3,2,1,5,2,2,2,3,0,0,100,0,100,0,0,0,0,0,0,0,C2CM
151,4,26,12,7,4,4,8,4,4,4,8,50,86,55,55,0,0,50,0,0,0,0,86,C2CM
152,1,9,10,3,2,1,5,2,2,2,4,0,125,0,0,125,0,0,0,0,0,0,0,C1CM
153,8,31,24,10,7,6,10,3,7,7,14,0,250,0,0,75,0,100,0,0,0,0,75,D1CM
154,2,13,8,3,2,4,4,1,2,4,4,0,0,125,0,0,0,0,0,0,0,0,125,D2CM
155,4,16,14,6,4,3,6,2,3,4,7,100,100,0,100,0,0,100,0,0,0,0,0,L1CM
156,7,35,15,11,5,5,11,5,5,6,11,100,0,200,100,0,100,0,0,0,0,0,100,I5MM
157,0,0,6,1,1,0,2,1,1,0,1,0,0,100,0,100,0,0,0,0,0,0,0,C1CM
158,5,20,22,9,4,5,9,3,4,5,9,20,45,0,0,0,0,40,0,25,25,0,0,I1LM
159,1,6,7,2,2,0,4,1,1,2,3,0,0,100,0,0,0,0,0,0,0,100,0,D2CM
160,1,7,10,3,2,0,5,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,D1CM
161,4,18,13,6,4,3,6,3,4,3,7,0,150,0,50,0,0,0,100,0,0,0,0,L1CM
162,4,10,10,4,2,3,6,2,2,2,4,0,100,100,200,0,0,0,0,0,0,0,0,L2CM
163,1,14,16,6,3,2,6,3,3,3,6,0,72,100,100,22,0,0,0,0,0,0,50,C2LM
164,3,18,22,9,4,4,7,4,4,4,8,0,46,24,22,0,14,0,0,10,10,0,24,C1CM
165,0,4,25,6,2,1,10,3,3,2,5,0,153,86,86,0,0,195,0,53,53,0,0,C1CM
166,7,40,32,13,8,8,16,7,7,8,15,200,250,450,250,0,100,200,50,100,100,200,0,C5CM
167,0,19,11,2,4,1,4,2,5,4,9,0,200,100,0,0,0,100,0,0,0,100,200,I1CM
168,0,1,6,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C5MM
169,2,9,17,5,2,2,11,3,2,2,4,0,100,50,0,0,0,50,0,0,0,50,50,L1CM
170,2,16,14,6,3,3,6,3,3,3,6,40,0,100,100,0,0,40,0,0,0,0,0,C1CM
171,2,21,28,9,5,3,12,5,5,5,10,0,233,0,68,0,0,100,0,0,0,65,0,I1CM
172,6,11,17,0,0,6,16,6,3,4,3,0,135,50,0,0,0,50,45,0,0,40,50,D5CM
173,4,15,16,7,3,4,6,2,3,4,7,0,325,0,0,0,0,0,175,0,0,0,150,D2CM
174,2,14,10,4,3,2,5,1,3,3,6,0,60,0,60,0,0,0,0,0,0,0,0,L1LM
175,7,22,18,7,4,5,7,3,8,5,9,0,28,35,0,0,0,0,0,35,35,28,0,C1CM
176,0,15,28,8,4,3,7,4,4,5,9,0,150,0,0,0,0,100,0,0,0,50,0,I1CM
177,3,10,10,4,2,2,6,2,2,2,4,0,25,0,25,0,0,0,0,0,0,0,0,D2CM
178,6,36,35,15,8,6,14,7,8,7,15,50,350,0,0,0,100,100,100,100,100,0,0,I1CM
179,2,12,12,4,2,2,5,2,4,2,6,0,50,100,0,0,0,0,0,0,0,50,100,L1LM
180,4,17,10,6,3,3,6,2,3,3,6,0,0,100,0,0,0,0,0,0,0,100,0,L1CM
181,0,6,16,4,2,2,4,1,2,3,5,0,210,0,105,0,0,0,0,0,0,0,105,I2CM
182,2,10,10,4,2,2,5,2,2,2,4,0,100,100,0,0,0,0,0,0,0,0,200,C1CM
183,1,9,16,4,3,1,5,2,3,3,6,0,400,0,0,0,0,197,0,0,0,0,203,D2MM
184,4,17,14,7,3,3,9,3,3,3,6,0,0,40,0,0,0,0,0,0,0,0,40,I1CM
185,0,4,4,2,2,0,1,0,2,2,0,0,200,300,0,200,0,0,0,0,0,300,0,C2MM
186,5,34,30,13,7,7,11,5,7,7,14,0,181,57,41,38,0,0,0,0,0,0,159,I1CM
187,3,18,9,6,3,3,6,1,3,3,6,0,60,20,0,0,0,0,80,0,0,0,0,C2CM
188,6,25,22,8,6,3,12,2,6,6,12,0,0,200,0,0,0,0,0,0,0,200,0,C1CM
189,0,0,4,1,0,0,2,1,1,0,0,0,0,100,0,0,0,0,0,100,100,0,0,I1CM
190,2,12,25,8,3,3,11,4,4,2,7,0,82,35,50,32,0,0,0,0,0,35,0,I1CM
191,2,13,12,6,4,0,5,1,2,4,6,0,0,100,0,0,0,0,0,100,100,0,0,C1LM
192,3,13,10,4,2,1,7,2,2,5,4,100,100,0,0,0,0,200,0,0,0,0,0,D2CM
193,2,10,10,4,2,2,5,2,2,2,4,0,150,0,100,0,0,0,0,0,0,0,50,D2CM
194,0,0,5,1,0,0,2,1,0,1,1,0,0,300,0,0,0,0,0,0,0,0,300,C1CM
195,0,0,6,1,1,0,2,1,1,0,1,0,0,450,0,450,0,0,0,0,0,0,0,L1MM
196,5,23,14,5,4,4,13,5,4,4,6,0,100,200,0,100,0,0,0,100,100,100,0,D2CM
197,2,15,16,4,4,3,10,4,4,2,5,100,200,200,0,0,0,200,0,0,0,200,100,D1CM
198,1,13,18,5,3,2,6,3,4,3,7,0,300,0,0,100,150,0,0,0,0,0,50,I1CM
199,2,21,36,7,5,4,18,7,5,6,11,25,350,100,0,200,100,25,0,0,0,150,0,I1CM
200,2,10,11,5,2,2,5,2,2,2,4,0,0,100,0,0,0,0,0,0,0,0,100,C1CM
201,1,7,23,5,4,2,9,3,3,2,5,0,150,25,50,50,50,0,25,0,0,0,0,C2LM
202,2,30,34,12,8,5,10,7,8,5,13,0,232,200,30,100,0,0,100,50,50,27,125,C2CM
203,3,11,10,5,2,2,7,1,2,2,4,0,70,0,0,0,0,0,0,0,0,70,0,C1LM
204,0,9,16,4,2,1,6,2,3,4,5,0,600,0,300,0,0,0,0,0,0,0,300,I1CM
205,4,14,10,5,3,3,6,2,2,3,5,0,150,0,150,0,0,0,0,0,0,0,0,C1CM
206,5,24,23,11,7,7,9,6,3,7,4,0,256,0,81,0,0,50,0,75,75,50,0,L1LM
207,3,14,18,5,2,2,13,4,2,4,6,100,100,100,0,0,0,100,0,0,0,0,200,C1CM
208,2,15,12,4,4,2,5,2,3,3,7,25,100,5,0,100,0,25,0,5,5,0,0,L1LM
209,8,32,28,9,8,8,11,5,8,8,12,200,563,0,163,100,200,0,0,0,0,300,0,D2CM
210,4,11,12,2,4,0,7,1,3,4,7,0,0,61,0,0,0,0,0,0,0,61,0,I1CM
211,4,21,33,10,5,4,14,6,6,5,10,5,45,0,10,0,0,20,0,10,10,10,0,D5CM
212,2,11,14,6,2,2,8,3,2,2,4,0,50,152,100,52,0,0,0,0,0,0,50,C1CM
213,8,27,21,6,8,4,10,1,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,D5MM
214,2,9,10,4,2,2,5,1,2,2,4,0,100,0,100,0,0,0,0,0,0,0,0,L1LM
215,1,12,37,9,5,3,13,6,5,4,9,0,115,30,25,30,40,25,0,25,25,0,0,C5CM
216,3,17,17,9,3,1,10,2,4,3,7,0,114,16,0,0,0,0,0,0,0,30,100,C1LM
217,1,33,11,4,3,4,8,5,8,3,11,9,116,0,100,0,0,9,0,0,0,9,7,L2CM
218,4,22,27,7,5,2,16,7,6,4,10,8,13,25,0,9,0,24,0,0,0,6,15,C2LM
219,2,10,10,4,2,2,5,2,2,2,4,0,0,100,0,100,0,0,0,0,0,0,0,C1CM
220,7,31,37,15,8,8,16,7,8,8,8,0,350,100,100,0,0,100,0,100,100,50,100,C2CM
221,0,4,19,3,2,1,7,2,4,1,5,0,200,100,0,0,0,100,0,100,100,100,0,C1CM
222,4,7,11,4,3,3,6,3,1,1,2,0,0,100,0,0,0,0,0,0,0,0,100,C1CM
223,2,26,22,11,5,4,7,4,5,5,10,0,250,100,0,50,0,75,0,0,0,200,100,C1CM
224,0,2,10,2,1,1,3,1,2,1,2,0,150,0,0,0,0,0,0,150,150,0,0,D1CM
225,1,9,20,6,3,2,9,3,2,3,5,0,250,200,150,0,0,0,0,0,0,0,300,I2CM
226,0,11,20,5,2,2,8,4,3,3,6,0,200,100,0,100,100,0,0,50,50,0,50,C1CM
227,8,28,27,10,8,8,11,5,7,8,7,75,111,0,0,0,0,169,0,25,25,39,0,L2LM
228,2,13,10,4,3,2,5,2,3,2,5,100,100,0,0,0,100,100,0,0,0,0,0,C2CM
229,5,28,36,14,8,7,14,7,4,7,11,25,65,100,25,0,25,75,0,0,0,115,0,C2CM
230,3,15,15,3,6,0,6,1,3,6,9,0,0,100,0,0,0,0,0,0,0,100,0,I1CM
231,1,10,8,4,2,2,3,2,1,2,4,0,200,0,200,0,0,0,0,0,0,0,0,C1CM
232,3,20,13,6,3,2,9,4,3,5,6,100,100,100,0,0,0,200,0,100,100,0,0,D5MM
233,2,15,12,5,3,3,7,3,2,3,5,150,150,100,150,0,0,150,0,0,0,0,100,C1CM
234,2,20,14,6,4,3,6,4,4,4,6,0,50,100,0,125,0,0,0,0,0,25,0,L1CM
235,4,13,10,4,3,3,6,2,2,3,5,0,100,100,0,0,0,0,0,200,200,0,0,D2CM
236,4,16,14,5,4,2,7,1,4,4,8,0,0,100,0,100,0,0,0,0,0,0,0,L1LM
237,3,15,31,9,4,5,12,5,4,5,8,0,187,64,0,64,0,0,62,0,0,0,125,I1CM
238,1,18,23,8,4,4,8,4,4,4,8,100,150,100,100,0,100,0,0,100,100,0,50,C1CM
239,6,37,24,10,7,8,12,6,7,7,12,25,150,100,0,25,25,0,0,125,125,25,75,C2CM
240,2,10,15,5,2,1,9,2,3,2,5,0,100,125,0,0,0,100,0,0,0,125,0,D1CM
241,8,31,13,9,5,5,11,4,5,5,10,0,100,100,0,0,100,0,0,0,0,100,0,L2CM
242,3,12,9,6,2,1,7,1,2,2,4,0,0,150,0,0,0,0,0,0,0,0,150,D2CM
243,2,26,39,12,6,4,18,7,6,6,12,0,124,100,20,0,20,20,70,66,66,12,16,C1CM
244,2,9,8,3,2,1,5,2,2,2,3,0,0,200,0,0,0,0,0,200,200,0,0,C2MM
245,4,13,11,5,3,2,7,2,2,3,5,0,40,0,0,0,0,40,0,0,0,0,0,C1CM
246,0,5,16,4,3,2,4,1,2,2,4,0,244,0,234,10,0,0,0,0,0,0,0,I1CM
247,2,18,12,8,3,3,6,3,3,2,5,10,250,0,0,0,0,10,0,0,0,250,0,L1CM
248,2,8,9,3,2,1,5,1,2,2,4,0,0,25,0,0,0,0,0,25,25,0,0,D1CM
249,4,13,21,7,4,5,7,3,3,4,6,0,287,0,0,0,0,0,102,100,100,85,0,D2CM
250,2,12,16,5,3,3,6,2,3,3,6,0,50,0,0,0,0,0,0,0,0,50,0,L1CM
251,2,9,10,3,2,2,5,2,2,3,3,0,50,25,0,0,0,0,0,0,0,75,0,D1CM
252,2,2,7,0,2,1,4,3,1,0,1,0,0,60,0,0,0,0,0,60,60,0,0,L1LM
253,0,6,28,6,2,2,14,4,3,3,4,0,20,28,10,10,0,0,0,28,28,0,0,D1CM
254,1,21,14,6,3,3,7,4,3,6,5,25,30,25,25,0,0,25,0,0,0,30,0,D2MM
255,0,5,16,4,3,2,4,1,2,2,4,0,200,0,100,100,0,0,0,0,0,0,0,C2CM
256,0,5,10,3,1,0,4,1,2,2,3,0,100,0,0,0,0,200,0,0,0,0,0,I1CM
257,2,14,10,5,2,2,7,3,2,2,4,50,25,27,0,52,0,50,0,0,0,0,0,D2MM
258,2,14,20,7,3,2,10,4,3,3,6,50,100,150,0,0,0,150,0,0,0,0,150,C5TM
259,0,0,3,0,0,0,2,1,1,0,0,0,0,25,0,0,0,0,0,25,25,0,0,C2CM
260,2,8,9,3,2,1,5,1,2,2,4,0,0,250,0,250,0,0,0,0,0,0,0,L1CM
261,5,23,11,8,4,4,7,3,3,4,7,0,50,250,50,0,0,0,0,0,0,250,0,C1CM
262,1,12,11,3,2,1,5,3,2,5,4,0,75,50,0,0,0,0,0,25,25,0,100,C1LM
263,0,0,7,1,0,0,2,1,1,1,2,0,0,100,0,0,0,0,0,0,0,0,100,L1CM
264,1,8,15,3,2,0,7,2,3,3,6,0,9,100,0,0,0,0,0,9,9,100,0,L1CM
265,2,10,10,4,2,2,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,L2TM
266,8,28,16,6,6,6,9,2,6,6,12,0,70,0,35,35,0,0,0,0,0,0,0,D5CM
267,2,5,9,2,2,1,5,1,2,1,3,0,0,100,0,0,0,0,0,0,0,100,0,C1CM
268,2,13,16,6,4,3,7,4,2,2,4,50,0,0,0,0,50,0,0,0,0,0,0,C2CM
269,0,13,21,6,4,3,5,3,3,4,7,0,253,0,100,100,0,0,0,0,0,53,0,I1CM
270,4,13,10,4,2,3,6,2,2,5,4,0,25,27,0,27,0,0,0,0,0,0,25,D5MM
271,1,8,5,3,2,0,5,1,1,1,2,0,110,0,0,0,0,110,0,0,0,0,0,L1CM
272,4,28,30,9,6,6,18,8,6,4,9,83,80,175,0,50,83,50,0,25,25,130,0,D5MM
273,3,20,16,7,4,4,8,3,4,3,7,100,200,0,200,0,0,100,0,0,0,0,0,C2CM
274,5,16,28,8,5,5,12,4,4,5,8,97,346,155,0,0,97,0,116,0,0,85,300,I2CM
275,2,10,10,5,2,2,5,1,2,2,4,0,100,0,100,0,0,0,0,0,0,0,0,L1CM
276,2,8,9,3,2,1,5,1,2,2,4,0,0,200,0,0,0,0,0,0,0,200,0,D1CM
277,8,32,27,7,7,6,18,7,7,6,13,100,299,200,0,0,119,202,0,92,92,188,100,L2CM
278,1,10,16,5,3,2,5,1,3,3,6,0,100,0,100,0,0,0,0,0,0,0,0,L1CM
279,6,22,13,7,4,4,7,2,4,5,9,40,100,0,0,0,40,100,0,0,0,0,0,L1CM
280,7,39,27,11,7,7,14,6,8,7,15,100,310,125,0,0,100,0,100,0,0,125,210,D2CM
281,2,11,7,3,2,3,5,1,1,3,3,0,0,32,0,32,0,0,0,0,0,0,0,D2CM
282,0,13,29,7,4,2,11,5,4,4,8,0,74,0,0,22,25,0,0,17,17,10,0,C2CM
283,0,8,19,3,2,2,10,3,3,3,4,0,20,27,15,0,0,0,0,15,15,17,0,L2CM
284,2,10,15,4,2,2,8,3,3,2,5,0,77,189,0,0,0,0,0,0,0,87,179,C1CM
285,0,9,13,3,2,1,4,2,3,3,5,0,225.75,0,0,0,137.87,0,0,87.88,87.88,0,0,C1CM
286,3,17,14,5,4,2,5,3,4,4,8,0,0,100,0,0,0,0,0,0,0,100,0,D5TM
287,1,9,8,3,3,0,5,1,1,3,3,5,0,25,0,0,0,5,0,0,0,25,0,D2CM
288,2,10,10,4,2,1,5,1,3,2,5,0,100,0,50,0,0,0,50,0,0,0,0,C1CM
289,2,9,9,4,2,1,5,1,2,2,4,0,100,0,100,0,0,0,0,0,0,0,0,L1CM
290,2,11,9,3,2,3,5,1,2,3,4,0,0,75,0,0,0,75,0,0,0,75,0,D1CM
291,6,27,31,11,5,7,14,6,6,6,12,52,88,100,33,0,26,49,0,0,0,32,100,C1CM
292,2,10,11,3,2,2,5,2,3,2,5,0,100,125,0,0,0,0,0,0,0,125,100,D2MM
293,1,12,24,6,3,2,10,5,4,3,7,0,150,200,0,50,0,100,0,0,0,100,100,L2CM
294,6,24,17,7,8,4,7,2,6,4,10,125,0,200,0,0,125,0,0,0,0,0,200,C1CM
